type,ctc_c,u6_bonus,ps,decile,mean,pc_aftertaxinc,metr_reform
Refund,3500,1000,PT,30-40,9080.0,29.6,20.8
Refund,3500,1000,PT,40-50,7295.0,17.4,19.2
Refund,3500,1000,PT,50-60,6621.0,11.8,11.3
Refund,3500,1000,PT,60-70,6684.0,9.0,13.2
Refund,3500,1000,PT,70-80,6164.0,6.2,20.8
Refund,3500,1000,PT,80-90,3901.0,2.9,24.8
Refund,3500,1000,PT,90-95,1311.0,0.7,23.5
Refund,3500,1000,PT,95-99,347.0,0.1,25.4
Refund,3500,1000,PT,Top 1%,211.0,0.0,28.6
Refund,3500,1000,PT,ALL,7243.0,9.1,12.7
CL,,,,0-10,1832.0,40.1,-32.4
CL,,,,10-20,5670.0,42.7,-16.7
CL,,,,20-30,6517.0,31.0,4.3
CL,,,,30-40,5767.0,18.8,17.1
CL,,,,40-50,4280.0,10.2,18.1
CL,,,,50-60,3778.0,6.7,11.1
CL,,,,60-70,3869.0,5.2,12.5
CL,,,,70-80,3816.0,3.9,17.6
CL,,,,80-90,3586.0,2.7,20.5
CL,,,,90-95,3507.0,1.8,21.3
CL,,,,95-99,2248.0,0.7,25.8
CL,,,,Top 1%,244.0,0.0,28.6
CL,,,,ALL,4506.0,5.6,8.7
Biden,,,,0-10,6545,143.4,-24.2
Biden,,,,10-20,9342,70.5,-8.7
Biden,,,,20-30,9658,46.1,12.5
Biden,,,,30-40,8325,27.2,20.9
Biden,,,,40-50,6733,16.1,19.1
Biden,,,,50-60,6111,10.9,11.3
Biden,,,,60-70,6306,8.5,12.6
Biden,,,,70-80,6311,6.4,18
Biden,,,,80-90,5768,4.3,21.2
Biden,,,,90-95,5401,2.8,21.5
Biden,,,,95-99,3570,1.1,26.2
Biden,,,,Top 1%,253,0,28.6
Biden,,,,ALL,7213,9,12
WNM,,,,0-10,6581,144.2,-24.7
WNM,,,,10-20,9435,71.2,-8.3
WNM,,,,20-30,9691,46.3,13.3
WNM,,,,30-40,8330,27.3,21
WNM,,,,40-50,6733,16.1,19.1
WNM,,,,50-60,6110,10.9,11.3
WNM,,,,60-70,6300,8.5,12.6
WNM,,,,70-80,6284,6.3,18.2
WNM,,,,80-90,5038,3.8,23.5
WNM,,,,90-95,3580,1.9,21.7
WNM,,,,95-99,2204,0.7,25.9
WNM,,,,Top 1%,201,0,28.6
WNM,,,,ALL,7030,8.8,12.4
Romney,,,,0-10,6058,132.8,-11
Romney,,,,10-20,7254,54.7,-1.7
Romney,,,,20-30,7565,36.1,9.4
Romney,,,,30-40,6802,22.3,17.2
Romney,,,,40-50,5837,14,14.5
Romney,,,,50-60,5448,9.7,12.9
Romney,,,,60-70,5511,7.5,14.4
Romney,,,,70-80,5668,5.7,17.7
Romney,,,,80-90,5472,4.1,20.5
Romney,,,,90-95,5500,2.8,21.4
Romney,,,,95-99,3653,1.1,26.2
Romney,,,,Top 1%,186,0,28.6
Romney,,,,ALL,6133,7.7,12.4
